Kelvin Yeboah ,182,73,10(1),920	,9	,2	,3	,-	,3.6	,65.2	,1.4	,2	,7.43
Joseph Rosales ,180,73,28(4),2612	,1	,7	,5	,2	,1.2	,76.6	,0.8	,3	,7.18
Robin Lod ,181,86,30(4),2571	,7	,13	,2	,-	,1.3	,82.6	,0.3	,4	,6.99
Kervin Arriaga ,191,77,9(4),878	,3	,-	,3	,-	,1.2	,81.1	,3	,-	,6.89
Hassani Dotson ,180,78,28(3),2466	,5	,2	,3	,1	,1.2	,80.8	,1	,3	,6.80
Bongokuhle Hlongwane ,185,78,25(9),2125	,11	,4	,3	,-	,1.6	,75.2	,0.8	,2	,6.78
Carlos Harvey ,185,89,14(6),1258	,-	,1	,1	,-	,0.5	,84.3	,0.8	,-	,6.68
Wil Trapp ,173,73,28(1),2485	,1	,1	,5	,-	,0.7	,85.1	,0.7	,-	,6.68
Tani Oluwaseyi ,191,80,10(17),1162	,8	,5	,4	,-	,1.3	,57	,1.4	,1	,6.66
Emanuel Reynoso ,170,68,0(1),31	,-	,-	,-	,-	,-	,80	,1	,-	,6.63
Clint Irwin ,191,88,5,450	,-	,-	,-	,-	,-	,73	,0.2	,-	,6.63
Jeong Sang-Bin ,175,76,25(9),2260	,6	,1	,4	,-	,1.1	,72.7	,0.9	,-	,6.60
Dayne St. Clair ,191,86,28,2551	,-	,-	,2	,-	,-	,51	,0.3	,1	,6.58
Devin Padelford ,183,78,19(5),1590	,-	,-	,4	,-	,0.1	,77.1	,1.3	,-	,6.53
DJ Taylor ,173,83,17(7),1490	,-	,1	,3	,-	,0.5	,80.1	,0.5	,-	,6.52
Joaquín Pereyra ,181,73,9,530	,-	,1	,2	,-	,0.8	,77.3	,0.3	,-	,6.52
Jefferson Díaz ,186,83,11,1001	,-	,1	,4	,1	,0.5	,83.1	,1.7	,-	,6.50
Michael Boxall ,191,95,34,3047	,1	,-	,9	,-	,0.4	,86.6	,1.5	,-	,6.49
Miguel Tapias ,179,70,23(2),2087	,-	,-	,4	,1	,0.4	,84.1	,2	,-	,6.45
Hugo Bacharach ,193,0,1,90	,-	,-	,-	,-	,-	,89.8	,-	,-	,6.41
Anthony Markanich ,185,0,1(2),66	,-	,-	,-	,-	,0.7	,83.3	,0.3	,-	,6.39
Teemu Pukki ,180,81,11(11),964	,4	,-	,-	,-	,1.8	,69.8	,0.3	,1	,6.38
Franco Fragapane ,170,66,6(18),822	,1	,2	,1	,-	,0.7	,83	,0.2	,-	,6.34
Caden Clark ,180,73,11(12),1030	,-	,-	,3	,-	,0.7	,71.2	,0.4	,-	,6.29
Samuel Shashoua ,176,70,0(3),20	,-	,-	,-	,-	,1.3	,80	,-	,-	,6.23
Loïc Mesanvi ,173,59,0(4),66	,-	,-	,-	,-	,0.5	,70.6	,0.5	,-	,6.18
Alejandro Bran ,175,75,6(5),433	,1	,-	,3	,-	,0.7	,84.3	,0.5	,-	,6.16
Morris Duggan ,193,93,0(2),48	,-	,-	,-	,-	,-	,70.8	,-	,-	,6.16
Alec Smir ,188,83,3,270	,-	,-	,-	,-	,-	,61.7	,-	,-	,6.14
Jordan Adebayo-Smith ,180,82,1(10),246	,-	,-	,2	,-	,0.5	,69.4	,0.5	,-	,6.10
Patrick Weah ,185,83,0(3),33	,-	,-	,-	,-	,-	,50	,0.7	,-	,6.07
Zarek Valentin ,183,77,0(4),33	,-	,-	,-	,-	,-	,80	,0.3	,-	,6.06
Rory O'Driscoll ,178,72,0(1),1	,-	,-	,-	,-	,-	,66.7	,-	,-	,6.00
Victor Eriksson ,192,0,2(2),165	,-	,-	,-	,-	,0.5	,77.4	,1.3	,-	,5.99
Kage Romanshyn ,0,0,0(1),11	,-	,-	,-	,-	,-	,60	,-	,-	,5.98
Moses Nyeman ,165,65,1(3),132	,-	,-	,-	,1	,-	,80.9	,-	,-	,5.96
