Age,Position,Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
24,AM(LR),Gabriel Pec ,173,66,34(3),3093	,19	,13	,1	,-	,3.7	,88.6	,0.2	,9	,7.64
25,AM(C)/FW,Riqui Puig ,169,56,31(1),2812	,15	,11	,10	,-	,3.6	,85.9	,0.2	,6	,7.62
25,FW,Dejan Joveljic ,181,75,27(5),2265	,19	,5	,2	,-	,2.2	,72.1	,0.8	,3	,7.13
27,AM(LR)/FW,Joseph Paintsil ,169,70,32(1),2652	,14	,8	,8	,-	,2.6	,84.4	,0.1	,3	,7.11
36,D(CR),Maya Yoshida ,189,78,38,3396	,2	,1	,2	,-	,0.5	,93	,2.3	,-	,6.84
31,D(R),Miki Yamane ,178,72,37,3285	,-	,4	,2	,-	,0.2	,90.4	,0.7	,1	,6.81
22,D(L),Julián Aude ,180,71,21(4),1701	,1	,2	,3	,-	,0.5	,85.1	,1	,1	,6.78
30,D(LR)/M(CLR),Mark Delgado ,176,67,31(5),2694	,1	,5	,7	,1	,0.5	,89.7	,0.4	,-	,6.78
32,GK,John McCarthy ,185,84,36,3240	,-	,-	,1	,-	,-	,64.2	,0.1	,1	,6.78
23,D(C),Emiro Garcés ,186,75,8(5),753	,-	,1	,-	,-	,0.1	,90.3	,1.2	,-	,6.74
32,M(C),Gastón Brugman ,178,75,13(13),1286	,-	,2	,5	,-	,0.8	,90	,0.4	,1	,6.66
36,M(CLR)/FW,Marco Reus ,180,71,6(4),517	,1	,3	,-	,-	,0.7	,90.8	,0.4	,-	,6.65
30,M(CLR)/FW,Diego Fagúndez ,173,64,19(19),1702	,4	,2	,2	,-	,0.7	,86.8	,0.1	,-	,6.52
26,D(L)/M(L),John Nelson ,175,74,16(11),1527	,-	,1	,3	,-	,0.1	,87.9	,0.5	,-	,6.49
21,D(C),Jalen Neal ,191,77,14(6),1385	,-	,-	,4	,-	,0.1	,94.7	,0.9	,-	,6.48
24,DMC,Edwin Cerrillo ,175,79,28(9),2446	,1	,-	,8	,-	,0.1	,94.2	,0.3	,-	,6.44
22,Midfielder,Jonathan Pérez ,168,72,2(4),131	,-	,-	,-	,-	,0.7	,92.9	,0.2	,-	,6.40
38,D(CLR)/M(R),Martín Cáceres ,180,77,14(1),1074	,-	,-	,3	,1	,0.3	,93.7	,0.9	,-	,6.39
22,D(R),Mauricio Cuevas ,170,54,1(18),318	,1	,1	,1	,-	,0.2	,87.3	,0.1	,-	,6.34
27,FW,Miguel Berry ,191,82,6(27),814	,2	,3	,1	,-	,0.3	,70.1	,0.7	,-	,6.26
32,D(C),Eriq Zavaleta ,185,84,1(4),160	,1	,-	,-	,1	,0.4	,89.7	,0.2	,-	,6.17
23,GK,Novak Micovic ,190,77,3,181	,-	,-	,1	,-	,-	,91.4	,-	,-	,6.16
25,M(C),Daniel Aguirre ,170,75,0(10),99	,-	,-	,-	,-	,0.3	,90.6	,0.3	,-	,6.10
25,DMC,Isaiah Parente ,179,70,0(6),42	,-	,-	,-	,-	,-	,92.2	,0.2	,-	,6.07
23,M(C),Tucker Lepley ,163,57,1(2),48	,-	,-	,-	,-	,-	,94.1	,-	,-	,6.05
18,Forward,Rubén Ramos ,175,70,0(2),13	,-	,-	,-	,-	,-	,100	,-	,-	,5.98
