Age,Position,Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
34,FW,Christian Benteke ,190,83,30,2600	,23	,5	,8	,1	,3.1	,59	,10.5	,10	,7.78
27,D(CLR)/M(R),Aarón Herrera ,180,71,29(1),2595	,1	,4	,9	,-	,1	,81.5	,1.1	,2	,7.01
34,M(CL),Mateusz Klich ,183,84,31,2669	,2	,5	,10	,-	,0.9	,83.8	,0.2	,1	,6.86
26,D(L)/M(L),David Schnegg ,185,74,1(1),121	,1	,-	,1	,-	,1	,74.5	,0.5	,-	,6.83
37,D(L)/M(CLR),Pedro Santos ,170,65,20(10),1802	,3	,3	,6	,1	,1	,72.1	,0.9	,2	,6.79
30,Defender,Conner Antley ,185,78,4(3),433	,-	,1	,1	,-	,0.3	,66.7	,1.6	,-	,6.69
27,D(C),Lucas Bartlett ,191,91,31(1),2745	,2	,3	,8	,1	,0.7	,81.1	,3.4	,-	,6.65
28,M(CLR),Jared Stroud ,179,72,32(1),2520	,3	,7	,4	,-	,1.8	,75.3	,0.2	,-	,6.61
34,D(C),Steven Birnbaum ,186,80,4(2),348	,-	,1	,2	,-	,0.3	,81.3	,3.7	,1	,6.54
23,AM(CLR)/FW,Ted Ku-DiPietro ,175,73,24(5),1880	,2	,4	,2	,-	,1.3	,67.7	,0.2	,-	,6.53
30,AM(CL),Martín Rodríguez ,171,78,12(13),1255	,2	,2	,5	,-	,0.3	,86.6	,0.3	,-	,6.49
31,M(CLR)/FW,Cristian Dájome ,172,70,23(8),2030	,3	,2	,8	,1	,1.1	,79.1	,0.9	,1	,6.44
23,AM(CLR),Gabriel Pirani ,170,71,13(20),1334	,6	,1	,3	,-	,1.4	,77.7	,0.1	,-	,6.42
28,D(CL),Christopher McVey ,192,76,26(1),2152	,1	,-	,5	,-	,0.3	,82	,1.4	,-	,6.42
31,GK,Alex Bono ,190,95,29,2610	,-	,-	,1	,-	,-	,59.1	,0.2	,1	,6.32
22,D(C)/DMC,Matti Peltola ,185,0,24(7),2226	,-	,-	,2	,1	,0.4	,82.9	,0.5	,-	,6.32
20,M(CR),Jackson Hopkins ,188,74,12(5),960	,-	,-	,4	,-	,0.6	,79.5	,0.4	,-	,6.30
23,D(C),Garrison Tubbs ,188,79,7(8),551	,-	,-	,2	,-	,0.3	,87.7	,0.5	,-	,6.24
21,FW,Jacob Murrell ,188,0,6(21),873	,1	,2	,2	,-	,1.1	,67.7	,0.8	,-	,6.23
19,Forward,Kristian Fletcher ,183,0,1(12),238	,1	,-	,1	,-	,0.5	,73.1	,0.6	,-	,6.21
29,D(CR)/DMC,Russell Canouse ,177,72,0(2),13	,-	,-	,-	,-	,-	,60	,-	,-	,6.21
32,AM(LR)/FW,Dominique Badji ,183,77,3(6),298	,1	,-	,2	,-	,0.9	,73.1	,1.2	,-	,6.19
18,D(C),Matai Akinmboni ,191,77,4(4),437	,-	,1	,1	,1	,-	,87.1	,0.5	,-	,6.18
25,DMC,Boris Enow ,180,0,3(4),303	,-	,-	,1	,1	,0.6	,82.5	,1.3	,-	,6.16
22,Midfielder,Jeremy Garay ,175,67,0(2),9	,-	,-	,-	,-	,-	,100	,-	,-	,6.06
23,Defender,Hayden Sargis ,183,77,0(1),31	,-	,-	,1	,-	,-	,86.7	,-	,-	,6.06
28,D(L),Mohanad Jeahze ,166,0,0(1),1	,-	,-	,-	,-	,-	,-	,-	,-	,6.00
32,GK,Tyler Miller ,193,88,5,450	,-	,-	,1	,-	,-	,42.5	,-	,-	,5.82
