Age,Position,Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
32,AM(CL)/FW,Lucas Zelarayán ,173,73,20,1711	,10	,6	,4	,-	,3.3	,81.4	,0.2	,7	,7.88
26,AM(CLR)/FW,Cucho Hernández ,175,73,33,2969	,21	,8	,5	,1	,6.3	,72.7	,1.1	,7	,7.66
27,AM(CLR)/FW,Diego Rossi ,170,65,14(2),1356	,5	,5	,2	,-	,2.9	,81.2	,0.2	,1	,7.21
23,DMC,Aidan Morris ,173,61,36,3124	,4	,4	,6	,-	,0.9	,92.3	,0.4	,3	,7.17
24,D(L)/M(L),Will Sands ,178,68,7,489	,-	,1	,1	,-	,0.3	,80.5	,1	,-	,6.91
31,D(R)/M(CR),Julian Gressel ,185,84,11(4),973	,1	,1	,1	,-	,0.6	,80	,0.3	,-	,6.85
27,D(CL)/M(L),Malte Amundsen ,178,81,27(1),2493	,4	,2	,11	,-	,0.7	,87.6	,0.7	,1	,6.80
25,AM(CLR),Alexandru Matan ,168,61,33(4),2837	,2	,9	,2	,-	,1.1	,85.3	,-	,1	,6.77
28,M(CLR),Yaw Yeboah ,175,70,27(10),2458	,4	,5	,3	,-	,1	,85.2	,0.2	,3	,6.77
34,M(CLR),Darlington Nagbe ,175,75,38(2),3387	,4	,1	,4	,-	,0.5	,93.8	,0.8	,-	,6.74
31,D(C)/DMC,Milos Degenek ,185,83,10(2),857	,-	,-	,3	,-	,0.3	,86	,1.9	,-	,6.61
36,GK,Eloy Room ,191,99,3,270	,-	,-	,-	,-	,-	,71.4	,-	,-	,6.58
30,D(CLR)/M(R),Steven Moreira ,178,72,39(1),3500	,-	,3	,3	,-	,0.2	,89.4	,0.3	,-	,6.58
24,GK,Patrick Schulte ,190,79,37,3390	,-	,1	,3	,-	,-	,75.1	,0.2	,1	,6.55
34,D(C),Rudy Camacho ,185,79,14(3),1360	,-	,-	,4	,-	,0.2	,90	,1.2	,-	,6.54
34,AM(C)/FW,Christian Ramirez ,188,85,19(16),1720	,10	,3	,3	,-	,1.5	,75.1	,0.3	,-	,6.53
25,D(CR),Philip Quinton ,198,93,10(2),938	,1	,-	,2	,-	,0.2	,88.3	,1.9	,-	,6.53
25,M(R),Mohamed Farsi ,178,69,27(9),2529	,-	,4	,1	,-	,0.2	,86	,0.3	,-	,6.51
26,D(C),Gustavo Vallecilla ,186,81,10(2),849	,-	,-	,3	,-	,0.3	,82.6	,1.2	,-	,6.50
25,D(C)/DMC,Sean Zawadzki ,183,72,16(20),1714	,3	,-	,6	,-	,0.4	,90	,0.6	,-	,6.47
24,M(LR),Max Arfsten ,185,78,3(10),273	,3	,2	,1	,-	,0.5	,78.6	,0.1	,-	,6.40
31,D(L)/M(CLR),Jimmy Medranda ,173,75,0(10),96	,1	,-	,1	,-	,0.3	,82.6	,0.2	,-	,6.32
22,FW,Jacen Russell-Rowe ,183,73,4(19),530	,4	,2	,2	,-	,0.8	,73.5	,0.3	,1	,6.30
27,D(C),Yevhen Cheberko ,184,66,2(7),248	,-	,-	,1	,-	,-	,94.5	,0.2	,-	,6.21
26,AM(R),Luis Díaz ,175,72,0(4),81	,-	,-	,-	,-	,-	,79.4	,-	,-	,6.18
34,AM(CLR),Kevin Molino ,180,80,0(14),83	,-	,1	,-	,-	,0.1	,90.6	,-	,-	,6.17
24,Defender,Keegan Hughes ,191,81,0(1),1	,-	,-	,-	,-	,-	,-	,-	,-	,6.08
25,DMC,Isaiah Parente ,179,70,0(7),41	,-	,-	,-	,-	,0.6	,88	,0.1	,-	,6.06
