Age,Position,Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
24,AM(CLR)/FW,Thiago Almada ,171,63,33,2910	,12	,16	,4	,1	,3.4	,83.6	,0.1	,13	,7.69
30,FW,Giorgos Giakoumakis ,185,84,24(6),2063	,19	,2	,8	,-	,2.6	,71.5	,1.5	,1	,7.15
24,Midfielder,Nick Firmino ,180,79,0(1),3	,1	,-	,-	,-	,1	,88.9	,-	,-	,7.06
27,D(R)/M(R),Brooks Lennon ,178,71,35(1),3151	,4	,12	,3	,-	,0.6	,87.1	,0.5	,3	,7.01
29,AM(CLR)/FW,Luiz Araújo ,175,70,15(1),1277	,3	,1	,1	,1	,2.6	,80.8	,0.3	,1	,6.99
28,AM(L),Xande Silva ,177,68,11(2),857	,4	,2	,2	,-	,1.6	,82.5	,0.1	,1	,6.89
28,D(CL)/M(L),Andrew Gutman ,178,72,16(2),1385	,3	,2	,3	,1	,0.8	,83.2	,1.2	,1	,6.78
28,DMC,Tristan Muyumba ,165,54,12(1),1047	,1	,1	,5	,-	,0.5	,90.2	,0.2	,-	,6.74
28,D(C),Miles Robinson ,187,84,29(1),2637	,2	,1	,3	,-	,0.4	,86.6	,2	,-	,6.72
30,M(LR),Saba Lobjanidze ,176,72,8(4),649	,3	,4	,-	,-	,1.1	,82.1	,-	,-	,6.72
24,DMC,Franco Ibarra ,175,69,15(2),1282	,-	,-	,8	,1	,0.4	,84.5	,1.2	,1	,6.71
23,AM(R),Edwin Mosquera ,172,68,4(11),510	,4	,-	,4	,-	,0.7	,76.2	,0.2	,-	,6.65
20,D(L)/M(L),Caleb Wiley ,180,73,31(2),2608	,4	,4	,1	,-	,0.3	,81.4	,0.8	,1	,6.62
27,D(C),Juan Purata ,188,78,24(5),2133	,1	,-	,4	,-	,0.7	,89.3	,2.1	,-	,6.60
26,DMC,Santiago Sosa ,179,78,11(6),920	,-	,1	,3	,-	,0.7	,85.4	,2	,-	,6.59
29,M(CR),Matheus Rossetto ,180,75,21(11),1982	,1	,1	,4	,-	,0.5	,91.6	,0.3	,-	,6.56
22,AM(CL),Tyler Wolff ,175,70,6(15),671	,5	,1	,3	,-	,0.6	,89.6	,-	,-	,6.47
27,D(CLR)/M(R),Ronald Hernández ,171,70,9(2),760	,-	,-	,1	,-	,0.5	,84.3	,0.2	,-	,6.41
40,GK,Brad Guzan ,193,94,30,2700	,-	,-	,2	,-	,-	,76.2	,0.3	,1	,6.41
23,Forward,Jackson Conway ,188,91,1,56	,-	,-	,-	,-	,1	,80	,-	,-	,6.29
28,M(CLR)/FW,Derrick Etienne ,178,77,11(12),1053	,-	,1	,1	,-	,0.4	,84.7	,-	,-	,6.28
29,D(C),Luis Abram ,181,76,19(6),1716	,-	,-	,1	,-	,0.1	,88.6	,0.8	,-	,6.27
28,M(C),Amar Sejdic ,178,72,14(9),1069	,-	,-	,2	,-	,0.4	,86.4	,0.2	,-	,6.25
27,FW,Miguel Berry ,191,82,10(17),1032	,1	,-	,1	,-	,0.3	,81.3	,0.7	,-	,6.24
26,Midfielder,Machop Chol ,188,79,4(15),461	,2	,-	,2	,-	,0.7	,78.1	,0.5	,-	,6.23
22,M(C),Ajani Fortune ,175,75,5(12),576	,-	,1	,4	,-	,0.4	,89.3	,-	,-	,6.19
39,GK,Quentin Westberg ,185,76,6,496	,-	,-	,-	,-	,-	,86.9	,0.2	,-	,6.18
31,GK,Clément Diop ,185,76,2(1),136	,-	,-	,1	,-	,-	,87.8	,-	,-	,6.11
39,DMC,Osvaldo Alonso ,180,71,0(7),91	,-	,-	,1	,-	,0.3	,88.9	,0.1	,-	,6.10
20,Midfielder,Luke Brennan ,180,68,0(1),3	,-	,-	,-	,-	,-	,100	,-	,-	,6.10
32,FW,Jamal Thiaré ,183,70,0(7),83	,-	,-	,4	,-	,0.3	,40	,0.6	,-	,6.04
23,Forward,Erik López ,176,68,0(1),25	,-	,-	,-	,-	,-	,60	,-	,-	,5.90
19,D(C),Noah Cobb ,185,75,2(1),196	,-	,-	,1	,-	,-	,86.5	,0.7	,-	,5.77
