Age,Position,Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
25,M(CR),Cristian Cásseres ,176,68,16(1),1441	,1	,1	,7	,-	,1.4	,78.6	,1.3	,1	,7.10
22,D(L)/M(L),John Tolkin ,170,61,30,2681	,4	,8	,6	,-	,1.4	,75.2	,1	,-	,6.98
24,M(C),Frankie Amaya ,163,63,25(3),2220	,5	,-	,5	,-	,1.6	,78.1	,0.8	,3	,6.89
28,AM(CLR)/FW,Luquinhas ,169,60,26(3),2285	,3	,3	,1	,-	,1.6	,78.8	,0.2	,1	,6.84
27,D(LR)/M(R),Kyle Duncan ,178,68,22(6),2116	,-	,2	,10	,-	,0.6	,69.8	,1.7	,-	,6.78
22,DMC,Daniel Edelman ,178,64,24(1),2037	,1	,1	,5	,-	,0.4	,77.3	,1.7	,-	,6.74
25,D(C),Andrés Reyes ,191,81,31(1),2689	,2	,-	,12	,1	,0.8	,73	,4.2	,3	,6.73
28,D(C),Sean Nealis ,193,79,34,2975	,1	,1	,8	,1	,0.4	,74.6	,4.4	,1	,6.71
25,Defender,Matthew Nocita ,203,93,0(1),26	,-	,-	,-	,-	,1	,66.7	,1	,-	,6.58
26,D(CR)/M(R),Dylan Nealis ,180,79,11(11),1217	,-	,-	,2	,-	,0.6	,69.4	,2.2	,1	,6.57
26,AM(CLR)/FW,Omir Fernandez ,170,64,24(9),1902	,6	,3	,2	,-	,1.2	,77.6	,0.2	,-	,6.53
33,FW,Cory Burke ,191,89,11(12),975	,2	,-	,3	,-	,1.4	,47.1	,2.8	,-	,6.53
23,D(R)/M(LR),Cameron Harper ,175,71,24(10),2229	,2	,2	,5	,1	,0.9	,71.8	,0.4	,-	,6.50
20,M(C),Ronald Donkor ,173,0,0(3),44	,-	,1	,-	,-	,-	,61.1	,-	,-	,6.47
23,FW,Elias Manoel ,176,75,22(9),1968	,6	,3	,3	,-	,1.5	,69.3	,0.8	,1	,6.45
29,AM(C)/FW,Tom Barlow ,188,84,23(14),2100	,5	,2	,5	,-	,1	,65.2	,2.4	,-	,6.42
26,D(C),Hassan Ndam ,193,88,8(7),706	,-	,-	,3	,1	,0.5	,76.4	,1.2	,-	,6.40
23,DMC/M(R),Peter Stroud ,0,0,9(19),1094	,-	,-	,1	,-	,0.2	,81.6	,0.5	,-	,6.36
24,Forward,O'Vonte Mullings ,178,74,0(2),43	,-	,-	,-	,-	,-	,90.9	,0.5	,-	,6.32
27,FW,Dante Vanzeir ,175,68,8(11),748	,2	,1	,2	,-	,1.3	,65.1	,0.4	,-	,6.32
22,AM(CLR),Wiki Carmona ,172,71,6(12),677	,1	,-	,-	,-	,1.1	,72.7	,0.4	,-	,6.32
28,M(CLR)/FW,Lewis Morgan ,178,75,3(2),299	,-	,-	,-	,-	,2.8	,66.7	,0.8	,-	,6.31
25,M(C),Dru Yearwood ,173,68,12(10),873	,-	,-	,4	,-	,0.4	,67.2	,0.4	,-	,6.30
28,GK,Carlos Coronel ,190,94,37,3361	,-	,-	,4	,-	,-	,44.4	,0.2	,1	,6.25
21,Forward,Jorge Hurtado ,185,76,1(4),117	,-	,-	,-	,-	,1.2	,72	,0.2	,-	,6.24
23,D(L),Jayden Reid ,0,0,0(1),1	,-	,-	,-	,-	,-	,-	,-	,-	,6.00
21,Midfielder,Ibrahim Kasule ,0,0,0(1),26	,-	,-	,-	,-	,-	,50	,-	,-	,5.94
17,Forward,Julian Hall ,0,0,0(1),9	,-	,-	,-	,-	,-	,-	,-	,-	,5.92
19,Forward,Serge Ngoma ,178,75,0(2),40	,-	,-	,-	,-	,-	,-	,-	,-	,5.56
